State,County,Total_List,Cancelled,Cancelled_Percent,Postponed,Postponed_Percent,Total_Fallout,Total_Fallout_Percent,Brought_To_Sale_Percent,Brought_To_Sale,Sold,Sold_Percent
Alabama,,2550,947,0.371372549,415,0.162745098,1362,0.534117647,0.465882353,1188,386,0.324915825
Alabama,Autauga,25,11,0.44,5,0.2,16,0.64,0.36,9,1,0.111111111
Alabama,Baldwin,78,32,0.41025641,18,0.230769231,50,0.641025641,0.358974359,28,18,0.642857143
Alabama,Bibb,6,3,0.5,1,0.166666667,4,0.666666667,0.333333333,2,0,0
Alabama,Blount,33,8,0.242424242,4,0.121212121,12,0.363636364,0.636363636,21,3,0.142857143
Alabama,Bullock,2,0,0,2,1,2,1,0,0,0,0
Alabama,Butler,6,3,0.5,0,0,3,0.5,0.5,3,0,0
Alabama,Calhoun,81,28,0.345679012,13,0.160493827,41,0.50617284,0.49382716,40,7,0.175
Alabama,Chambers,8,4,0.5,0,0,4,0.5,0.5,4,0,0
Alabama,Cherokee,7,1,0.142857143,3,0.428571429,4,0.571428571,0.428571429,3,0,0
Alabama,Chilton,13,2,0.153846154,2,0.153846154,4,0.307692308,0.692307692,9,0,0
Alabama,Choctaw,3,0,0,1,0.333333333,1,0.333333333,0.666666667,2,1,0.5
Alabama,Clarke,5,2,0.4,1,0.2,3,0.6,0.4,2,0,0
Alabama,Clay,5,1,0.2,2,0.4,3,0.6,0.4,2,0,0
Alabama,Cleburne,1,1,1,0,0,1,1,0,0,0,0
Alabama,Coffee,14,2,0.142857143,0,0,2,0.142857143,0.857142857,12,0,0
Alabama,Colbert,24,9,0.375,3,0.125,12,0.5,0.5,12,2,0.166666667
Alabama,Conecuh,5,2,0.4,1,0.2,3,0.6,0.4,2,0,0
Alabama,Coosa,1,0,0,0,0,0,0,1,1,0,0
Alabama,Covington,11,3,0.272727273,1,0.090909091,4,0.363636364,0.636363636,7,0,0
Alabama,Crenshaw,1,0,0,0,0,0,0,1,1,0,0
Alabama,Cullman,27,7,0.259259259,6,0.222222222,13,0.481481481,0.518518519,14,1,0.071428571
Alabama,Dale,25,6,0.24,1,0.04,7,0.28,0.72,18,4,0.222222222
Alabama,Dallas,10,4,0.4,0,0,4,0.4,0.6,6,0,0
Alabama,De Kalb,4,2,0.5,0,0,2,0.5,0.5,2,1,0.5
Alabama,DeKalb,13,3,0.230769231,2,0.153846154,5,0.384615385,0.615384615,8,4,0.5
Alabama,Elmore,52,17,0.326923077,12,0.230769231,29,0.557692308,0.442307692,23,5,0.217391304
Alabama,Escambia,10,1,0.1,4,0.4,5,0.5,0.5,5,1,0.2
Alabama,Etowah,68,18,0.264705882,14,0.205882353,32,0.470588235,0.529411765,36,12,0.333333333
Alabama,Fayette,9,3,0.333333333,2,0.222222222,5,0.555555556,0.444444444,4,0,0
Alabama,Franklin,7,6,0.857142857,0,0,6,0.857142857,0.142857143,1,0,0
Alabama,Geneva,3,2,0.666666667,0,0,2,0.666666667,0.333333333,1,1,1
Alabama,Hale,7,4,0.571428571,0,0,4,0.571428571,0.428571429,3,0,0
Alabama,Henry,6,0,0,1,0.166666667,1,0.166666667,0.833333333,5,2,0.4
Alabama,Houston,37,8,0.216216216,8,0.216216216,16,0.432432432,0.567567568,21,12,0.571428571
Alabama,Jackson,10,4,0.4,0,0,4,0.4,0.6,6,0,0
Alabama,Jefferson,506,181,0.35770751,90,0.177865613,271,0.535573123,0.464426877,235,96,0.408510638
Alabama,Lamar,5,1,0.2,0,0,1,0.2,0.8,4,2,0.5
Alabama,Lauderdale,30,12,0.4,3,0.1,15,0.5,0.5,15,6,0.4
Alabama,Lawrence,11,5,0.454545455,2,0.181818182,7,0.636363636,0.363636364,4,1,0.25
Alabama,Lee,59,21,0.355932203,9,0.152542373,30,0.508474576,0.491525424,29,9,0.310344828
Alabama,Limestone,49,23,0.469387755,12,0.244897959,35,0.714285714,0.285714286,14,4,0.285714286
Alabama,Lowndes,4,0,0,1,0.25,1,0.25,0.75,3,0,0
Alabama,Macon,9,4,0.444444444,0,0,4,0.444444444,0.555555556,5,0,0
Alabama,Madison,225,89,0.395555556,35,0.155555556,124,0.551111111,0.448888889,101,43,0.425742574
Alabama,Marengo,5,4,0.8,0,0,4,0.8,0.2,1,0,0
Alabama,Marion,8,4,0.5,2,0.25,6,0.75,0.25,2,0,0
Alabama,Marshall,57,15,0.263157895,13,0.228070175,28,0.49122807,0.50877193,29,11,0.379310345
Alabama,Mobile,316,124,0.392405063,43,0.136075949,167,0.528481013,0.471518987,149,50,0.33557047
Alabama,Monroe,6,2,0.333333333,1,0.166666667,3,0.5,0.5,3,1,0.333333333
Alabama,Montgomery,168,66,0.392857143,24,0.142857143,90,0.535714286,0.464285714,78,17,0.217948718
Alabama,Morgan,81,34,0.419753086,15,0.185185185,49,0.604938272,0.395061728,32,10,0.3125
Alabama,Perry,1,0,0,1,1,1,1,0,0,0,0
Alabama,Pickens,4,2,0.5,0,0,2,0.5,0.5,2,0,0
Alabama,Pike,6,5,0.833333333,1,0.166666667,6,1,0,0,0,0
Alabama,Randolph,5,1,0.2,3,0.6,4,0.8,0.2,1,0,0
Alabama,Russell,38,13,0.342105263,5,0.131578947,18,0.473684211,0.526315789,20,4,0.2
Alabama,Saint Clair,48,21,0.4375,7,0.145833333,28,0.583333333,0.416666667,20,4,0.2
Alabama,Shelby,115,46,0.4,15,0.130434783,61,0.530434783,0.469565217,54,31,0.574074074
Alabama,Talladega,25,11,0.44,2,0.08,13,0.52,0.48,12,3,0.25
Alabama,Tallapoosa,18,6,0.333333333,3,0.166666667,9,0.5,0.5,9,1,0.111111111
Alabama,Tuscaloosa,107,50,0.46728972,15,0.140186916,65,0.607476636,0.392523364,42,16,0.380952381
Alabama,Walker,19,7,0.368421053,4,0.210526316,11,0.578947368,0.421052632,8,2,0.25
Alabama,Washington,3,2,0.666666667,0,0,2,0.666666667,0.333333333,1,0,0
Alabama,Wilcox,2,1,0.5,1,0.5,2,1,0,0,0,0
Alabama,Winston,3,0,0,1,0.333333333,1,0.333333333,0.666666667,2,0,0
Alaska,,51,9,0.176470588,22,0.431372549,31,0.607843137,0.392156863,20,3,0.230769231
Alaska,Anchorage,25,5,0.2,10,0.4,15,0.6,0.4,10,3,0.428571429
Alaska,Anchorage Municipality,4,0,0,4,1,4,1,0,0,0,0
Alaska,Fairbanks North Star,6,1,0.166666667,1,0.166666667,2,0.333333333,0.666666667,4,0,0
Alaska,Juneau,1,0,0,0,0,0,0,1,1,0,0
Alaska,Kenai Peninsula,4,2,0.5,2,0.5,4,1,0,0,0,0
Alaska,Kodiak Island,2,0,0,0,0,0,0,1,2,0,0
Alaska,Matanuska Susitna,5,1,0.2,3,0.6,4,0.8,0.2,1,0,0
Alaska,Matanuskasusitna,1,0,0,0,0,0,0,1,1,0,0
Alaska,Matanuskasusitna Borough,3,0,0,2,0.666666667,2,0.666666667,0.333333333,1,0,0
Arizona,,7460,1455,0.195040214,4580,0.613941019,6035,0.808981233,0.191018767,1425,908,0.637192982
Arizona,Apache,21,0,0,16,0.761904762,16,0.761904762,0.238095238,5,1,0.2
Arizona,Cochise,143,15,0.104895105,63,0.440559441,78,0.545454545,0.454545455,65,11,0.169230769
Arizona,Coconino,22,3,0.136363636,11,0.5,14,0.636363636,0.363636364,8,4,0.5
Arizona,Gila,26,1,0.038461538,13,0.5,14,0.538461538,0.461538462,12,3,0.25
Arizona,Graham,9,2,0.222222222,0,0,2,0.222222222,0.777777778,7,0,0
Arizona,Greenlee,1,0,0,1,1,1,1,0,0,0,0
Arizona,La Paz,4,2,0.5,0,0,2,0.5,0.5,2,1,0.5
Arizona,Maricopa,4372,942,0.215462031,2767,0.632891125,3709,0.848353156,0.151646844,663,503,0.7586727
Arizona,Mohave,222,31,0.13963964,107,0.481981982,138,0.621621622,0.378378378,84,31,0.369047619
Arizona,Navajo,23,4,0.173913043,6,0.260869565,10,0.434782609,0.565217391,13,2,0.153846154
Arizona,Pima,1645,300,0.182370821,992,0.603039514,1292,0.785410334,0.214589666,353,231,0.654390935
Arizona,Pinal,663,97,0.146304676,436,0.657616893,533,0.803921569,0.196078431,130,84,0.646153846
Arizona,Santa Cruz,26,7,0.269230769,10,0.384615385,17,0.653846154,0.346153846,9,4,0.444444444
Arizona,Yavapai,161,30,0.186335404,88,0.546583851,118,0.732919255,0.267080745,43,21,0.488372093
Arizona,Yuma,122,21,0.172131148,70,0.573770492,91,0.745901639,0.254098361,31,12,0.387096774
Arkansas,,1083,397,0.366574331,217,0.200369344,614,0.566943675,0.433056325,469,36,0.077253219
Arkansas,Arkansas,8,2,0.25,2,0.25,4,0.5,0.5,4,0,0
Arkansas,Ashley,3,2,0.666666667,0,0,2,0.666666667,0.333333333,1,0,0
Arkansas,Baxter,9,3,0.333333333,3,0.333333333,6,0.666666667,0.333333333,3,0,0
Arkansas,Benton,48,21,0.4375,8,0.166666667,29,0.604166667,0.395833333,19,5,0.263157895
Arkansas,Boone,6,1,0.166666667,1,0.166666667,2,0.333333333,0.666666667,4,0,0
Arkansas,Carroll,6,2,0.333333333,2,0.333333333,4,0.666666667,0.333333333,2,0,0
Arkansas,Chicot,1,1,1,0,0,1,1,0,0,0,0
Arkansas,Clark,9,3,0.333333333,2,0.222222222,5,0.555555556,0.444444444,4,0,0
Arkansas,Cleburne,6,1,0.166666667,2,0.333333333,3,0.5,0.5,3,0,0
Arkansas,Cleveland,1,0,0,0,0,0,0,1,1,0,0
Arkansas,Columbia,5,2,0.4,1,0.2,3,0.6,0.4,2,1,0.5
Arkansas,Conway,7,3,0.428571429,2,0.285714286,5,0.714285714,0.285714286,2,0,0
Arkansas,Craighead,38,15,0.394736842,6,0.157894737,21,0.552631579,0.447368421,17,2,0.117647059
Arkansas,Crawford,29,13,0.448275862,5,0.172413793,18,0.620689655,0.379310345,11,2,0.2
Arkansas,Crittenden,68,21,0.308823529,19,0.279411765,40,0.588235294,0.411764706,28,0,0
Arkansas,Cross,3,2,0.666666667,1,0.333333333,3,1,0,0,0,0
Arkansas,Desha,2,0,0,0,0,0,0,1,2,0,0
Arkansas,Drew,2,1,0.5,0,0,1,0.5,0.5,1,0,0
Arkansas,Faulkner,59,23,0.389830508,15,0.254237288,38,0.644067797,0.355932203,21,2,0.095238095
Arkansas,Franklin,2,0,0,0,0,0,0,1,2,0,0
Arkansas,Garland,49,13,0.265306122,6,0.12244898,19,0.387755102,0.612244898,30,4,0.133333333
Arkansas,Grant,3,2,0.666666667,1,0.333333333,3,1,0,0,0,0
Arkansas,Greene,13,6,0.461538462,1,0.076923077,7,0.538461538,0.461538462,6,1,0.166666667
Arkansas,Hempstead,6,2,0.333333333,2,0.333333333,4,0.666666667,0.333333333,2,1,0.5
Arkansas,Hot Spring,7,3,0.428571429,0,0,3,0.428571429,0.571428571,4,0,0
Arkansas,Howard,2,0,0,0,0,0,0,1,2,0,0
Arkansas,Independence,6,3,0.5,0,0,3,0.5,0.5,3,1,0.333333333
Arkansas,Jackson,7,2,0.285714286,3,0.428571429,5,0.714285714,0.285714286,2,0,0
Arkansas,Jefferson,43,16,0.372093023,11,0.255813953,27,0.627906977,0.372093023,16,1,0.0625
Arkansas,Johnson,6,1,0.166666667,2,0.333333333,3,0.5,0.5,3,0,0
Arkansas,Lafayette,1,0,0,0,0,0,0,1,1,0,0
Arkansas,Lawrence,6,1,0.166666667,2,0.333333333,3,0.5,0.5,3,0,0
